v_id,cv_cid,video_source_id
54LIPQNX1QFWPD9XP9RD,5XHLA2Y7H0QLFD1DWNY8,5X4ELCWX1KZAMGXW4ALZ
XUA8ZT4VWQXP3BOXW5RN,2HY2YXY2OE3GY4BA6VYY,5OSBW1A7YMOT6IMUKIO2
DMTIWS8787AEKJLW4S6C,2HY2YXY2OE3GY4BA6VYY,C8A2MNT42837TD65P9Q4
HK4VCT7U6748X1GN2IYA,2HY2YXY2OE3GY4BA6VYY,R96ZD10BJ522O8E0OCZ3
HK3RIX3H55BQ7QFO0AI3,2HY2YXY2OE3GY4BA6VYY,2H6EWJ2CL3F8R71Q3U7J
I4G97K8Q998G7XUDJ3PD,2HY2YXY2OE3GY4BA6VYY,OGYRKKNUY1UGCIV0FUCL
3J3W5P3D72MGNHUYRKOJ,2HY2YXY2OE3GY4BA6VYY,AK137LX2FMGZ7YADKSH8
9XWC4R452SOPKIEU05U0,2HY2YXY2OE3GY4BA6VYY,S666AUEZ3P6JKBQD9LGZ
1QK9Q3ZHHM7GJIW8IBX2,2HY2YXY2OE3GY4BA6VYY,AA3VKJ6Q7JPOMJMTYJQ1
R7O1OMTSD4R3XWDFCWOA,2HY2YXY2OE3GY4BA6VYY,JDW6AOFTJVO1TJCMQ5X1
8SU7DUGAUVQWTGSBJL3O,2HY2YXY2OE3GY4BA6VYY,PKIR9C1ZNAL2VTAEOQWV
DA2T4I3KIF2D14JGD5AK,2HY2YXY2OE3GY4BA6VYY,97VOUL15J9E61EYNNE8P
54EIWR5OEI7N2QTDZOQL,2HY2YXY2OE3GY4BA6VYY,UL0CARWLQ27TAL545729
9IQLQDQK094SMIDRE8YZ,2HY2YXY2OE3GY4BA6VYY,FOSW89939OJ9W5RGKREK
4Z9UYW7NINONHU8U0PZJ,2HY2YXY2OE3GY4BA6VYY,87EXDIVIX80FRA6OMDE0
8FLNWL5MCBLWV4ELS4RO,2HY2YXY2OE3GY4BA6VYY,H6TVX9QNDF3EDNO1Y99L
TMZIYW1RQDB476R1KMFE,9W16HUAN3F0LB16BN1QC,Y4UF5MKN05MCSWYA254P
83K2423DT46ZJM3L4W3H,P074WP7NLCCMPJ200PE8,9G3HMHST0PESD7LAZL5O
OV5DM6KDAM9TJS6ZU5QJ,5XHLA2Y7H0QLFD1DWNY8,J4A7SCLVF41M55QVPTVA
U5DTCHGK1E9WKI1OSYXQ,2HY2YXY2OE3GY4BA6VYY,2A24ZGS7B2PKMMZDBXFV
W4KDLL0L41SUSTF0VFHD,NTFBS3C5O5HPWTX9B8YJ,KYLJ4RQOG7DQ3UNB7JZX
FOB558PEAL8XOLXSDV9P,P074WP7NLCCMPJ200PE8,YNJ019K08T9JT9PSTP2D
