cv_cid,course_title,course_no,year,semester,instructor_string,course_start,course_end,reg_start,reg_end,roster_limit,reg_workflow,course_type,status
YTRCPGFO30F379XPNF3C,Storytelling Structure & Media Design (Michelin),Achieve.Michelin0202,2018,2,"ผศ.ดร.สมิทธิ์ บุญชุติมา และ อ.ดร.ประภัสสร จันทร์สถิตย์พร
",1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
037WNEP3Q5VU8FUNFB1N,Effective Presentation Delivery (Michelin),Achieve.Michelin0203,2018,2,ผศ.ดร.สุกัญญา สมไพบูลย์ และ อ.ดร.ธีรดา จงกลรัตนาภรณ์,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
SZ8FTZG0ALWCIOO9XZ8P,Negotiation & Value Creation (Michelin),Achieve.Michelin0204,2018,2,ผศ.ดร.สมิทธิ์ บุญชุติมา,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
NE55B4QHA5BA5KEQ57YH,Persuasive Presentation & Negotiation Pathway Test (Michelin),Achieve.Michelin0205,2018,2,,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
Z426HIYWTFYPXGQJIK7E,Practical Data Analytics Using RapidMiner,Achieve.PUBLIC0103.CLONED,2019,1,ผศ. ดร.พีรพล เวทีกูล,1539046800,1551373140,1539046800,1551373140,3000,purchase_to_enroll,selfpace,1
9Y2S2JKZU3WI0DK3AKU2,Practical Data Analytics Using RapidMiner,CU.MOOC.039,2018,2,ผศ. ดร.พีรพล เวทีกูล,1552266000,1556643599,1552266000,1556643599,4000,free_selfreg,selfpace,1
GPZXA7604UV7DIZREU2M,Test Course (do not register),FECAMP.CLONED,2018,3,พี่ ๆ วิศวฯ จุฬาฯ,0,0,0,0,750,purchase_to_enroll,selfpace,1
7UH9AXXH9HVCD0IGRXR2,มหากาพย์ อังกฤษ อัพเกรด : โค้งสุดท้ายไวยากรณ์ และการออกเสียงภาษาอังกฤษ รุ่นที่ 2,CU.MOOC.024.02,2018,2,อ.มณฑิรา ดำรงมณี,1552266000,1556643599,1552266000,1556643599,4000,free_selfreg,selfpace,1
MG5DJQN7QCK3ECIM11H0,คนรักสุนัข: Dog Lover,CU.MOOC.037,2018,2,คณาจารย์จากคณะสัตวแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,1552266000,1556643599,1552266000,1556643599,4000,free_selfreg,selfpace,1
KLHPQ3A1EASE5AWHQMXA,สืบสานสาระมหาชาติ (คำหลวง),CU.MOOC.038,2018,2,ศูนย์พุทธศาสน์ศึกษา  และคณาจารย์คณะอักษรศาสตร์ ร่วมกับศิษย์เก่าจุฬาลงกรณ์มหาวิทยาลัย รุ่น พ.ศ. ๒๕๑๐,1552870800,1559321999,1552870800,1559321999,4000,free_selfreg,selfpace,1
